Date,Country,Value
12/1/2000,Euro,1.1132
1/1/2001,Euro,1.0666
2/1/2001,Euro,1.0864
3/1/2001,Euro,1.101
4/1/2001,Euro,1.1204
5/1/2001,Euro,1.1425
6/1/2001,Euro,1.1723
7/1/2001,Euro,1.1608
8/1/2001,Euro,1.1094
9/1/2001,Euro,1.0972
10/1/2001,Euro,1.105
11/1/2001,Euro,1.1257
12/1/2001,Euro,1.1221
1/1/2002,Euro,1.1322
2/1/2002,Euro,1.1485
3/1/2002,Euro,1.1408
4/1/2002,Euro,1.1287
5/1/2002,Euro,1.0905
6/1/2002,Euro,1.0459
7/1/2002,Euro,1.0065
8/1/2002,Euro,1.0224
9/1/2002,Euro,1.0198
10/1/2002,Euro,1.0192
11/1/2002,Euro,0.9987
12/1/2002,Euro,0.981
1/1/2003,Euro,0.9414
2/1/2003,Euro,0.9272
3/1/2003,Euro,0.9262
4/1/2003,Euro,0.9206
5/1/2003,Euro,0.8654
6/1/2003,Euro,0.8566
7/1/2003,Euro,0.8799
8/1/2003,Euro,0.8965
9/1/2003,Euro,0.8875
10/1/2003,Euro,0.8537
11/1/2003,Euro,0.854
12/1/2003,Euro,0.8131
1/1/2004,Euro,0.7913
2/1/2004,Euro,0.7911
3/1/2004,Euro,0.8156
4/1/2004,Euro,0.8341
5/1/2004,Euro,0.8333
6/1/2004,Euro,0.8233
7/1/2004,Euro,0.8153
8/1/2004,Euro,0.8203
9/1/2004,Euro,0.8181
10/1/2004,Euro,0.7996
11/1/2004,Euro,0.7694
12/1/2004,Euro,0.7459
1/1/2005,Euro,0.762
2/1/2005,Euro,0.7685
3/1/2005,Euro,0.7584
4/1/2005,Euro,0.7726
5/1/2005,Euro,0.7876
6/1/2005,Euro,0.8227
7/1/2005,Euro,0.8305
8/1/2005,Euro,0.8133
9/1/2005,Euro,0.8174
10/1/2005,Euro,0.8318
11/1/2005,Euro,0.8482
12/1/2005,Euro,0.8431
1/1/2006,Euro,0.8247
2/1/2006,Euro,0.8375
3/1/2006,Euro,0.8314
4/1/2006,Euro,0.8148
5/1/2006,Euro,0.7833
6/1/2006,Euro,0.7898
7/1/2006,Euro,0.7886
8/1/2006,Euro,0.7806
9/1/2006,Euro,0.786
10/1/2006,Euro,0.7926
11/1/2006,Euro,0.7759
12/1/2006,Euro,0.7573
1/1/2007,Euro,0.7696
2/1/2007,Euro,0.7645
3/1/2007,Euro,0.7549
4/1/2007,Euro,0.74
5/1/2007,Euro,0.7398
